time,surfaceTemp,ambientTemp,voltage,power,id,timestamp,preCoolTemp,postCoolTemp,duration
09:00,38.2,27.5,23.4,128.5,,,,,
10:00,41.7,29.1,23.7,132.8,,,,,
11:00,45.5,31.2,24.0,137.2,,,,,
12:00,49.8,33.0,24.2,140.5,,,,,
13:00,52.3,34.5,24.4,143.0,,,,,
14:00,54.1,35.2,24.6,145.2,,,,,
15:00,55.8,36.0,24.8,147.5,,,,,
16:00,53.2,34.8,24.5,144.0,,,,,
17:00,50.7,33.5,24.3,140.2,,,,,
18:00,47.9,32.1,24.0,136.5,,,,,
19:00,45.2,30.8,23.7,132.0,,,,,
20:00,42.5,29.2,23.3,128.7,,,,,
21:00,39.8,27.6,22.9,125.4,,,,,
22:00,37.1,26.0,22.5,122.1,,,,,
23:00,34.4,24.4,22.1,118.8,,,,,
,,,,,1,12:45 PM,58.5,43.2,60s
,,,,,2,01:30 PM,65.2,45.1,60s
,,,,,3,02:15 PM,72.3,48.5,60s
,,,,,4,03:00 PM,75.0,50.0,60s
,,,,,5,03:45 PM,78.2,52.3,60s
,,,,,6,04:30 PM,80.5,54.1,60s
,,,,,7,05:15 PM,82.0,55.0,60s
,,,,,8,06:00 PM,83.5,56.2,60s
,,,,,9,06:45 PM,85.1,57.8,60s
